id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
5DhcEJWVdkPNkJUVnbiUKo,Best of Us,71,197251,0,"['WIER', 'Alexa Feser', 'Annett Louisan', 'Bibi Bourelly', 'Christina Stürmer', 'Conor Byrne', 'Glasperlenspiel', 'ILIRA', 'Joel Brandenstein', 'JORIS', 'Justin Jesso', 'KAYEF', 'Kelvin Jones', 'LOTTE', 'Milow', 'Nico Santos', 'Philipp Dittberner', 'Sasha', 'Stefanie Heinzmann']","['2eGAHWide96MItPXtwxMr2', '0Yb66lSgYL9MFYw6jUHCVD', '0kcGSitPHYyZ9B7bP7wJo8', '3jDtqAKltRxJi64svLZGj7', '5GnRHCbhnGp57tp4whNvOo', '0hEeBhTVYUKs2B4PY2IdMB', '2UFKXTZgKtOTHSqMSyAcLO', '6mzs66iVW15C5iLt0JLt41', '0VUeSHZjbneQ8Ti7whkL9A', '7BKePXVmQRgnkbGcrFX1G4', '1QDrz3DMMaz3TB1cm0PGDu', '4hXT6A14n901v8DU5Of337', '2t1vHqFELDwweQWM6JYxHG', '3gqabzO7zvHVzAIT0Nxqa3', '6mo0UbyIvIePdXNyLwQlk5', '3A9B6c1CrSPauiOblw7pWz', '7oaSITFPadI3fnIxbv7hTa', '091dY4SjI2cy4YHdvhCjg1', '0bm9qSmVJmT9CEukIhhZY5']",25/06/2020,61.7,0.625,1,-6.655,1,0.101,0.192,0,0.0768,0.282,79.939,4
2GzxOl303G5yahULdJxAn2,Dag & Nag,41,211837,0,['Elandré'],['3Gg20zbz8OVW3iahm8uoYo'],28/08/2020,63.8,0.879,4,-5.466,1,0.051,0.336,0.000216,0.254,0.641,110.004,4
6LomKGX8Nroiqfvn7siU9k,My Music III,40,63368,0,['DJSima'],['7nCVyegsoh1LjGzn3jZmxW'],12/09/2020,39.7,0.0127,6,-25.473,0,0.0332,0.985,0.866,0.102,0.0867,120.574,4
73IHbP7MBz8BXsl3fXLKrZ,"Drop It - 132 Bpm, 32 Count Pro Edition",16,197744,0,['Gym Workout DJ Team'],['03Kgvh6NwIZHA8M3MKRTyg'],01/01/2020,49.4,0.798,2,-9.07,1,0.116,0.00766,0.862,0.371,0.145,132.143,4
4jhHaLksdP8DJZzxYAjOSz,Kemba Walker,63,152960,1,"['Eladio Carrion', 'Bad Bunny']","['5XJDexmWFLWOkjOEjOVX3e', '4q3ewBCX7sLwd24euuV69X']",31/01/2020,83.2,0.59,8,-7.168,0,0.272,0.446,1.43E-06,0.123,0.596,146.907,4
2o2sgVJIgFXk8GQjWTgI6U,long story short,72,215920,0,['Taylor Swift'],['06HL4z0CvFAxyc27GXpf02'],11/12/2020,54.6,0.73,0,-7.704,1,0.0417,0.66,0.179,0.0972,0.573,157.895,4
6tKBGfbhdHgZW7IrRvedj5,Lost Horse,36,232247,0,['Asaf Avidan'],['7t51dSX8ZkKC7VoKRd0lME'],11/09/2020,71,0.696,5,-5.674,0,0.0415,0.0403,0.00395,0.131,0.594,75.496,4
7rTqpSnUSS5kuBqlaucYPD,Laugh it Off,53,32026,0,['woon'],['70yWwTLV7A0R2rBZYLC9WC'],30/12/2020,41.5,0.186,8,-20.982,0,0.112,0.928,0.869,0.105,0.499,100.373,3
0RZVAhyB8vhxQz6ITjiuyA,Noise,60,340281,0,['Nightwish'],['2NPduAUeLVsfIauhRwuft1'],10/04/2020,50,0.85,2,-7.759,1,0.0493,0.000406,0.00515,0.121,0.434,76.976,4
7t1CJFGZcC5jXU3PJCucn2,<U+0422><U+044B> <U+043F><U+0430><U+0440><U+0438>,57,234667,0,['JONY'],['2ISiyx4DLCMAMBCvPesCoq'],21/08/2020,74.6,0.674,8,-5.192,0,0.186,0.347,0,0.0478,0.551,90,4
5YPKiDLejR1JhnX6w2lhro,Spigoli (feat. Mara Sattei & tha Supreme),59,256787,0,"['Carl Brave', 'Mara Sattei', 'tha Supreme']","['29nrwultxQ8jENVmXoyMqK', '0zoMmzmyi8N8LwzhyXPvtk', '19i93sA0D7yS9dYoVNBqAA']",17/12/2020,72.2,0.706,0,-5.902,0,0.0481,0.148,0,0.102,0.693,132.982,4
